;Linguistic Area name; Language Genetic Affiliation; Intelligence Source(Artificial / Natural); Programming Integration Level; Speakers; Native Speakers; Official Language; Writing System; Cultural Impact Measures & Metrics; Literary Traditions
0;  Austronesian; Malayo-Polynesian; Natural; High; 178 million; 77 million; Yes; Abjad (Malay), Abugida (Javanese); UNESCO Intangible Cultural Heritage; Mahabharata, Ramayana
1; Sino-Tibetan; Chinese; Natural; High; 1.3 billion; 1.3 billion; Yes; Logographic (Chinese characters); Influential in East Asia; Four Great Classical Novels
2; Afro-Asiatic; Semitic; Natural; Low; 375 million; 300 million; Yes; Abjad (Arabic); Influential in Middle East and North Africa; One Thousand and One Nights
3; Niger-Congo; Bantu; Natural; Low; 335 million; 335 million; Yes; Syllabic (Nsibidi); African Union Cultural Symbols; African Folktales
4; Indo-European; Germanic; Natural; High; 515 million; 242 million; Yes; Alphabet (Latin script); Franks Casket, Beowulf; Norse mythology
5; Indo-European; Romance; Natural; High; 800 million; 300 million; Yes; Alphabet (Latin script); Don Quixote, The Divine Comedy; Romance literatures
6; Indo-European; Slavic; Natural; Medium; 315 million; 245 million; Yes; Cyrillic (Russian), Glagolitic (Croatian); The Tale of Igor's Campaign; Slavic folklore
7; Uralic; Finno-Ugric; Natural; Low; 25 million; 25 million; Yes; Finno-Pермic (Hungarian), Abjad (Yoik); Kalevala, The Tale of the Miner's Son;
8; Altaic; Turkic; Natural; Medium; 170 million; 150 million; Yes; Alphabet (Latin script, Cyrillic script); Oguz Khan, Manas; Epic of Köroğlu
9; Austroasiatic; Mon-Khmer; Natural; Low; 93 million; 93 million; Yes; Abugida (Khmer); Reamker, Ramakerti; Thai folklore</s>
