;Heritage Monuments; Cultural Events; Literature; Traditional Arts & Craftsmanship; Customary Practices and Rituals; National Holidays; Education System; Sports and Games; Cuisine; Climate; Government Type; Population; Currency
0; Heritage Monuments; Angkor Wat, Cambodia; Great Wall of China; Taj Mahal, India; Machu Picchu, Peru; Moai Statues, Easter Island; Colosseum, Italy; Stonehenge, England;;;;;
1;Cultural Events; Diwali, India; Day of the Dead, Mexico; Rio Carnival, Brazil; La Tomatina, Spain; Holi, India; Oktoberfest, Germany; Chinese New Year, China;;;;;
2;Literature; Don Quixote, Spain; War and Peace, Russia; To Kill a Mockingbird, USA; One Hundred Years of Solitude, Colombia; Ulysses, Ireland; Les Misérables, France;;;;;;
3;Traditional Arts & Craftsmanship; Uzbekistan silk weaving; Inuit stone carving, Canada; Batik making, Indonesia; Irish Celtic knotwork; Zulu basketry, South Africa;;;;;;;
4;Customary Practices and Rituals; Japanese tea ceremony; Polynesian tattooing; Moroccan wedding rituals; Day of the Dead, Mexico; Aboriginal dreamtime stories, Australia;;;;;;;
5;National Holidays; Independence Day, USA; Bastille Day, France; Diwali, India; Chinese New Year, China; National Day, China; Australia Day, Australia;;;;;;
6;Education System; 3-tier system, Germany; Comprehensive system, UK; Magnet schools, USA; K-12 system, Canada; IB system, various countries;;;;;;;
7;Sports and Games; Soccer, worldwide; Baseball, USA; Rugby, New Zealand and Wales; Cricket, India and Pakistan; Hurling, Ireland;;;;;;;
8;Cuisine; Sushi, Japan; Tacos, Mexico; Curry, India; Fondue, Switzerland; Poutine, Canada; Goulash, Hungary;;;;;;
9;Climate; Arctic, Canada; Equatorial, Indonesia; Mediterranean, Spain; Desert, Egypt; Temperate, Germany; Subtropical, China;;;;;;
10;Government Type; Federal parliamentary republic, Germany; Federal presidential republic, India; Constitutional monarchy, UK; Unitary parliamentary constitutional monarchy, Canada;;;;;;;;
11;Population; China 1.4 billion; India 1.3 billion; USA 330 million; Indonesia 270 million; Pakistan 216 million; Brazil 211 million;;;;;;
12;Currency; Euro, Germany, France, etc; Indian Rupee, India; British Pound, UK; Canadian Dollar, Canada; Japanese Yen, Japan; Brazilian Real, Brazil</s>;;;;;;
