;Photo Title;Category;Characteristics;Location;Lens Type;Flash Usage;White Balance Setting;Focus Mode;Post-Processing Software;Image Orientation;Sharpness and Noise Level;Subject Distance;Image Size;Contrast;Saturation;Hue Settings;File Format
0;" ""The Lonely Tree""";Landscape;Wide-angle lens, Low contrast, High saturation;Mountain area, Norway;Ultra-wide angle lens;No flash, Fill flash;Cloudy;Manual focus;Lightroom, VSCO presets;Horizontal;Slightly soft, Low noise;Medium distance;Large;Medium contrast;High saturation;Minor hue adjustments;RAW
1;"""Colorful Market""";Culture;Standard lens, High contrast, Vibrant colors;Local market, Morocco;Prime lens;No flash, Bounce flash;Shade;Single autofocus;Capture One, Custom presets;Horizontal;Sharp, Moderate noise;Close distance;Medium;High contrast;Very high saturation;Slight warm hue;TIFF
2;"""Mystery Lake""";Nature;Telephoto lens, Low saturation, Subtle tones;Mountain lake, Canada;Telephoto lens;No flash, Slow sync flash;Fluorescent;Continuous autofocus;Luminar, Landscape filters;Horizontal;Soft, Moderate noise;Far distance;Small;Low contrast;Muted tones;Neutral hue;JPEG
3;"""Rainy Day Coffee""";Urban;Standard lens, High contrast, Desaturated colors;City cafe, New York;Standard lens;No flash, Diffuser;Flash;Single autofocus;DxO PhotoLab, Black and white presets;Vertical;Sharp, Low noise;Close distance;Medium;High contrast;Desaturated colors;Cool hue;DNG
4;"""Lighthouse Silhouette""";Landscape;Telephoto lens, Low contrast, Monochrome;Coastal lighthouse, England;Telephoto lens;No flash, Slow sync flash;Cloudy;Continuous autofocus;Silver Efex Pro, Custom presets;Horizontal;Soft, Moderate noise;Far distance;Small;Low contrast;Black and white;Neutral hue;TIFF
5;"""Breakfast at Dawn""";Food;Macro lens, High contrast, Warm colors;Kitchen, Australia;Macro lens;No flash, Diffuser;Shade;Single autofocus;Topaz Studio, Food filters;Horizontal;Tack sharp, Low noise;Extreme close distance;Extra small;High contrast;Warm colors;Slightly warm hue;JPEG
6;"""Rustic Barn""";Architecture;Wide-angle lens, Low contrast, Muted colors;Country barn, France;Wide-angle lens;No flash, Bounce flash;Flash;Single autofocus;Lightroom, Matte presets;Horizontal;Soft, Moderate noise;Medium distance;Large;Low contrast;Muted colors;Slightly cool hue;RAW
7;"""Birds in Flight""";Wildlife;Telephoto lens, High contrast, Natural colors;Bird sanctuary, Costa Rica;Telephoto lens;No flash, Slow sync flash;Daylight;Continuous autofocus;Nik Collection, Bird-specific filters;Horizontal;Slightly soft, Moderate noise;Far distance;Small;High contrast;Slightly desaturated colors;Neutral hue;TIFF
8;"""Bike Ride Through Town""";Cityscape;Standard lens, High contrast, Vibrant colors;Urban street, Amsterdam;Standard lens;No flash, Fill flash;Open shade;Single autofocus;PhotoDirector, Cityscape filters;Horizontal;Sharp, Low noise;Medium distance;Medium;High contrast;Highly saturated colors;Slightly warm hue;JPEG
9;"""Sublime Sunrise""";Nature;Ultra-wide angle lens, Low contrast, Soft colors;Beach, Hawaii;Ultra-wide angle lens;No flash, Slow sync flash;Cloudy;Manual focus;Luminar, Aurora HDR;Horizontal;Soft, Moderate noise;Far distance;Extra large;Low contrast;Soft colors;Neutral hue;RAW</s>
