;FashionablyGreenSpaces; WildlifeCorridors; SustainabilityPolicies; GreenBuildingsRatio; EnvironmentalEducationPrograms; EcoCertifiedProductSales; RecyclingRatePercentage; WasteManagementProcesses; NoisePollutionLevels; RenewableEnergyConsumptionPercentages; WaterConsumptionPerCapita; CarbonFootprintScore; BiodiversityProtectionPrograms; PublicEngagementLevel
0; FashionablyGreenSpaces: Central Park; WildlifeCorridors: Amazon Rainforest; SustainabilityPolicies: Tokyo's Green Space Policy; GreenBuildingsRatio: 60% in Copenhagen; EnvironmentalEducationPrograms: NYC's Green Schools; EcoCertifiedProductSales: 45% in Whole Foods; RecyclingRatePercentage: 78% in San Francisco; WasteManagementProcesses: Zero Waste Program in Vancouver; NoisePollutionLevels: Lowest in Nat. Parks; RenewableEnergyConsumptionPercentages: 100% in Oslo; WaterConsumptionPerCapita: Lowest in Berlin; CarbonFootprintScore: Best in Curitiba; BiodiversityProtectionPrograms: Galapagos Conservation Trust; PublicEngagementLevel: High in Amsterdam.
1;FashionablyGreenSpaces: Hyde Park; WildlifeCorridors: Central Arizona Corridor; SustainabilityPolicies: Seoul's Green City Plan; GreenBuildingsRatio: 50% in Vancouver; EnvironmentalEducationPrograms: Boston's Green Education; EcoCertifiedProductSales: 35% in Sainsbury's; RecyclingRatePercentage: 70% in Auckland; WasteManagementProcesses: Waste-to-Energy in Stockholm; NoisePollutionLevels: Low in Zurich; RenewableEnergyConsumptionPercentages: 90% in Reykjavik; WaterConsumptionPerCapita: Lowest in Paris; CarbonFootprintScore: Best in Portland; BiodiversityProtectionPrograms: Costa Rica's National Parks; PublicEngagementLevel: High in Dublin.
2;FashionablyGreenSpaces: Golden Gate Park; WildlifeCorridors: Mount Kilimanjaro; SustainabilityPolicies: Singapore Green Plan; GreenBuildingsRatio: 70% in Stockholm; EnvironmentalEducationPrograms: London's Green Schools; EcoCertifiedProductSales: 30% in Tesco; RecyclingRatePercentage: 65% in Hong Kong; WasteManagementProcesses: Waste Sorting in Bangkok; NoisePollutionLevels: Low in Vienna; RenewableEnergyConsumptionPercentages: 80% in Malmö; WaterConsumptionPerCapita: Lowest in Rome; CarbonFootprintScore: Best in Helsinki; BiodiversityProtectionPrograms: WWF Global; PublicEngagementLevel: High in Madrid.
3;FashionablyGreenSpaces: Stanley Park; WildlifeCorridors: Everglades National Park; SustainabilityPolicies: Sydney's Sustainable Strategy; GreenBuildingsRatio: 65% in Edinburgh; EnvironmentalEducationPrograms: Berlin's Green Education; EcoCertifiedProductSales: 40% in Marks and Spencer; RecyclingRatePercentage: 60% in Barcelona; WasteManagementProcesses: Recycling in Munich; NoisePollutionLevels: Low in Copenhagen; RenewableEnergyConsumptionPercentages: 95% in Copenhagen; WaterConsumptionPerCapita: Lowest in Brussels; CarbonFootprintScore: Best in Vienna; BiodiversityProtectionPrograms: Conservation International; PublicEngagementLevel: High in Oslo.
4;FashionablyGreenSpaces: Millennium Park; WildlifeCorridors: Borneo Rainforest; SustainabilityPolicies: Amsterdam's Green Vision; GreenBuildingsRatio: 55% in Toronto; EnvironmentalEducationPrograms: Chicago's Green Schools; EcoCertifiedProductSales: 33% in Ikea; RecyclingRatePercentage: 55% in Chicago; WasteManagementProcesses: Waste Minimization in Tokyo; NoisePollutionLevels: Low in Geneva; RenewableEnergyConsumptionPercentages: 75% in Hamburg; WaterConsumptionPerCapita: Lowest in Sydney; CarbonFootprintScore: Best in Frankfurt; BiodiversityProtectionPrograms: Rainforest Foundation; PublicEngagementLevel: High in Berlin.
5;FashionablyGreenSpaces: Central Park NYC; WildlifeCorridors: Patagonia; SustainabilityPolicies: Melbourne's Green Plan; GreenBuildingsRatio: 68% in Portland; EnvironmentalEducationPrograms: Austin's Green Education; EcoCertifiedProductSales: 42% in Walmart; RecyclingRatePercentage: 63% in Seattle; WasteManagementProcesses: Zero Waste in San Francisco; NoisePollutionLevels: Low in Stockholm; RenewableEnergyConsumptionPercentages: 85% in Vancouver; WaterConsumptionPerCapita: Lowest in Amsterdam; CarbonFootprintScore: Best in Copenhagen; BiodiversityProtectionPrograms: Wildlife Conservation Society; PublicEngagementLevel: High in Denver.
6;FashionablyGreenSpaces: Vondelpark; WildlifeCorridors: Scandinavian Forest; SustainabilityPolicies: Helsinki's Green Vision; GreenBuildingsRatio: 75% in Reykjavik; EnvironmentalEducationPrograms: Dublin's Green Schools; EcoCertifiedProductSales: 48% in John Lewis; RecyclingRatePercentage: 72% in Oslo; WasteManagementProcesses: Waste to Energy in Singapore; NoisePollutionLevels: Low in Zurich; RenewableEnergyConsumptionPercentages: 98% in Oslo; WaterConsumptionPerCapita: Lowest in Helsinki; CarbonFootprintScore: Best in Stockholm; BiodiversityProtectionPrograms: The Nature Conservancy; PublicEngagementLevel: High in Copenhagen.
7;FashionablyGreenSpaces: Retiro Park; WildlifeCorridors: African Savannah; SustainabilityPolicies: Barcelona's Green Plan; GreenBuildingsRatio: 62% in Hamburg; EnvironmentalEducationPrograms: Melbourne's Green Education; EcoCertifiedProductSales: 44% in Coles; RecyclingRatePercentage: 58% in Amsterdam; WasteManagementProcesses: Waste Minimization in Dublin; NoisePollutionLevels: Low in Vienna; RenewableEnergyConsumptionPercentages: 78% in Hamburg; WaterConsumptionPerCapita: Lowest in Berlin; CarbonFootprintScore: Best in Munich; BiodiversityProtectionPrograms: African Parks; PublicEngagementLevel: High in Sydney.
8;FashionablyGreenSpaces: Griffith Park; WildlifeCorridors: Yangtze River; SustainabilityPolicies: Beijing's Green Vision; GreenBuildingsRatio: 60% in Brussels; EnvironmentalEducationPrograms: Toronto's Green Schools; EcoCertifiedProductSales: 38% in Loblaws; RecyclingRatePercentage: 50% in Toronto; WasteManagementProcesses: Waste Sorting in Seoul; NoisePollutionLevels: Low in Geneva; RenewableEnergyConsumptionPercentages: 82% in Berlin; WaterConsumptionPerCapita: Lowest in Vienna; CarbonFootprintScore: Best in Hamburg; BiodiversityProtectionPrograms: WWF Global; PublicEngagementLevel: High in Tokyo.
9;FashionablyGreenSpaces: Chapultepec Park; WildlifeCorridors: Himalayan Mountain Range; SustainabilityPolicies: Toronto's Green Plan; GreenBuildingsRatio: 72% in Copenhagen; EnvironmentalEducationPrograms: Vancouver's Green Schools; EcoCertifiedProductSales: 46% in Carrefour; RecyclingRatePercentage: 67% in Berlin; WasteManagementProcesses: Recycling in Paris; NoisePollutionLevels: Low in Munich; RenewableEnergyConsumptionPercentages: 88% in Copenhagen; WaterConsumptionPerCapita: Lowest in Copenhagen; CarbonFootprintScore: Best in Vienna; BiodiversityProtectionPrograms: Conservation International; PublicEngagementLevel: High in Sydney.</s>
