;Period or Movement; Geographical Region; Major Works; Additional Authors; Newly Introduced Characters; Extended Plot Elements; Supplemental Themes; Expanded Historical Context; Supplementary Cultural Significance; Extra Language Aspects; Distinct Literary Devices; Additional Symbolisms; Exceptional Imaging Variations
0;  Romanticism; Europe, primarily Britain and Germany;" ""Wuthering Heights"" by Emily Bronte, ""Frankenstein"" by Mary Shelley"; Lord Byron, John Keats, Percy Bysshe Shelley; Heathcliff, Catherine; Nature as a source of inspiration, individualism, emotional intensity; Exploration and colonization, societal changes due to industrialization; Nature as a symbol of the sublime, use of symbolic and gothic elements; Emphasis on emotion and imagination, use of personification; Use of literary ballads, exploration of the supernatural.;;;
1; Realism; France, Britain, and United States;" ""Madame Bovary"" by Gustave Flaubert, ""The Adventures of Huckleberry Finn"" by Mark Twain"; Charles Dickens, Honore de Balzac, Nathaniel Hawthorne; Huck Finn, Tom Sawyer; Common settings and characters, exploration of social issues, detailed descriptions; Industrialization, urbanization, and their impacts on society; Social and economic classes, exploration of moral dilemmas; Use of irony, satire, and local dialects; Examination of the human condition, critical regionalism.;;;
2; Modernism; Europe and North America;" ""To the Lighthouse"" by Virginia Woolf, ""The Great Gatsby"" by F. Scott Fitzgerald"; T.S. Eliot, James Joyce, Gertrude Stein; Jay Gatsby, Mrs. Dalloway; Fragmentation of narrative, stream of consciousness; World War I and II, economic depression, and their impacts on society; Experimentation with form, use of symbolism and allusion; Complex themes, such as the decline of civilization and the nature of time; Exploration of human perceptions and sensory experiences.;;;
3; Postmodernism; Global, predominantly in Western countries;" ""Infinite Jest"" by David Foster Wallace, ""Slaughterhouse-Five"" by Kurt Vonnegut"; Thomas Pynchon, Don DeLillo, Angela Carter; Billy Pilgrim, Don Gately; Metafiction, intertextuality, and self-referentiality; Consumer culture, information age, and their impacts on society; Fragmented narratives, use of pastiche and parody; Themed around the concepts of simulation and hyperreality; Blend of high and low culture, exploration of the role of technology in society.;;;
4; Harlem Renaissance; United States, specifically the Harlem neighborhood;" ""Their Eyes Were Watching God"" by Zora Neale Hurston, ""Invisible Man"" by Ralph Ellison"; Langston Hughes, Countee Cullen, Claude McKay; Janie Crawford, Invisible Man; Exploration of the African American experience; Urbanization, the Great Migration, and their impacts on African American culture; Themed around social justice, racial equality, and cultural identity; Use of symbolism, imagery, and jazz rhythms; Exploration of racial and gender dynamics.;;;
5; Beat Generation; United States, primarily on the West Coast;" ""On the Road"" by Jack Kerouac, ""Howl"" by Allen Ginsberg"; William S. Burroughs, Gregory Corso, Gary Snyder; Sal Paradise, Dean Moriarty; Countercultural rebellion, exploration of Eastern spirituality; The atomic age, Cold War, and their impacts on society; Themed around non-conformity, rejection of mainstream values, and exploration of the self; Use of spontaneous prose, stream of consciousness, and surrealism; Exploration of the human condition, the search for meaning.;;;
6; Victorian Literature; Britain;" ""Jane Eyre"" by Charlotte Bronte, ""Middlemarch"" by George Eliot"; Charles Dickens, Oscar Wilde, Thomas Hardy; Jane Eyre, Dorothea Brooke; Social realism, emphasis on morality and social responsibility; Industrialization, urbanization, and their impacts on society; Themed around social class, gender roles, and the role of religion in society; Use of symbolism, metaphor, and allusion; Exploration of the human condition, the search for intimacy and love.;;;
7; Elizabethan Literature; England;" ""Romeo and Juliet"" by William Shakespeare, ""Doctor Faustus"" by Christopher Marlowe"; Edmund Spenser, John Donne, Thomas Kyd; Romeo Montague, Juliet Capulet, Doctor Faustus; Emphasis on poetic beauty, use of iambic pentameter; The expansion of the British Empire and its impacts on society; Themed around power, ambition, and the consequences of actions; Use of soliloquies, allegory, and symbolism; Exploration of human nature, existential crises, and the supernatural.;;;
8; Renaissance Literature; Italy;" ""The Divine Comedy"" by Dante Alighieri, ""The Prince"" by Niccolo Machiavelli"; Petrarch, Giovanni Boccaccio, Torquato Tasso; Dante, Virgil; Emphasis on humanism, exploration of individual potential; The rise of the Italian city-states and their impacts on society; Themed around morality, ethics, and the nature of power; Use of allegory, symbolism, and terza rima; Exploration of the afterlife, the search for meaning, and the power of human reason.;;;
9; Ancient Greek Literature; Greece;" ""The Iliad"" by Homer, ""Oedipus Rex"" by Sophocles"; Hesiod, Aeschylus, Euripides; Achilles, Hector; Emphasis on epic storytelling, use of heroic couplets; The birth of Western civilization and its impacts on society; Themed around the gods, heroism, and the human condition; Use of tragedy, irony, and foreshadowing; Exploration of the relationship between gods and humans, the nature of heroism, and the inevitability of fate.</s>;;;
