;Fashion Trendsetter; Designer Name; Runway Theme; Celebrity Inspiration; Model; Campaign Release Date; Photo Credits; Magazine Featured; Social Media Buzz (Percentage); Consumer Poll Rating (Percentage)
0;  Yves Saint Laurent; Hedi Slimane;" ""Grunge Noir"""; Courtney Love; Cara Delevingne; October 1, 2015; Steven Meisel; Vogue; 85%; 92%
1; Chanel; Karl Lagerfeld;" ""Supermarket Chic"""; Katy Perry; Kendall Jenner; January 20, 2014; Karl Lagerfeld; Harper's Bazaar; 78%; 88%
2; Alexander Wang; Alexander Wang;" ""Street Sport"""; Rihanna; Bella Hadid; May 15, 2016; Craig McDean; Elle; 65%; 90%
3; Gucci; Alessandro Michele;" ""Geek Chic"""; Lady Gaga; Edie Campbell; September 12, 2017; Glen Luchford; W Magazine; 93%; 85%
4; Versace; Donatella Versace;" ""Retro Futurism"""; Beyoncé; Gigi Hadid; February 24, 2018; Mert Alas & Marcus Piggott; CR Fashion Book; 81%; 89%
5; Burberry; Christopher Bailey;" ""British Heritage"""; Emma Watson; Lily Donaldson; September 19, 2013; Mario Testino; Love; 74%; 91%
6; Balmain; Olivier Rousteing;" ""Military Glam"""; Kim Kardashian; Jourdan Dunn; March 13, 2016; Steven Klein; V Magazine; 87%; 84%
7; Prada; Miuccia Prada;" ""Art Deco"""; Nicole Kidman; Amber Valletta; May 5, 2015; Tim Walker; T Magazine; 62%; 80%
8; Fendi; Karl Lagerfeld;" ""Roman Holiday"""; Kylie Jenner; Adwoa Aboah; September 22, 2016; Karl Lagerfeld; WSJ; 89%; 92%
9; Dolce & Gabbana; Domenico Dolce & Stefano Gabbana;" ""Sicilian Family"""; Sophia Loren; Monica Bellucci; February 26, 2017; Giampaolo Sgura; Vogue Italia; 96%; 80%</s>
