Author | Style | Setting | Character | Conflict | Plot | Symbol | Theme | Imagery | Tone | Structure | Meter | Rhyme | Title | Year
Joyce | Modernist | Dublin | Leopold Bloom | Social | Coming of Age | Odysseus' shroud | Identity | Extended Metaphors | Melancholy | Stream of Consciousness | Iambic Pentameter | End Rhyme | Ulysses | 1922
Hardy | Realistic | Wessex | Angel Clare | Internal | Forbidden Love | A Cracked Pane of Glass | Fatefulness | Reflected Light | Fragile | Epistolary | Anapestic Tetrameter | Couplet | Tess of the d'Urbervilles | 1891
Shakespeare | Elizabethan | Forest of Arden | Rosalind | Physical | Banished Love | A Chain of Stones | Concealment | Onomatopoeia | Amorous | Verse-Chorus | Blank Verse | Alternating Fourteener | As You Like It | 1623
Plath | Postmodern | Suburban Massachusetts | Sylvia Plath | Mental | Confessional | Colossus of Rhodes | Isolation | Personification | Angry | Free Verse | Trochaic Hexameter | Internal Rhyme | Ariel | 1965
Dickens | Victorian | London & Kent | Pip | External | Coming of Age | Pocket Watch | Prejudice | Metaphors | Bittersweet | Monologue | Iambic Heptameter| End Rhyme | Great Expectations | 1861
Garcia-Marquez | Magical Realist | Macondo | Jose Arcadio Buendia | Social & Cultural | Epic Chronicle | Jigsaw Puzzle | Collective Memory | Similes | Magical | Polyphonic | Trochaic Pentameter | End Rhyme | One Hundred Years of Solitude | 1967
Shelley | Romantic | Egypt | Traveller | Political | Elegy | Rotted Statue | Nature of Power | Metonymy | Haunting | Blank Verse | Dactylic Hexameter | End Rhyme | Ozymandias | 1818
Austen | Realist | Hertfordshire | Elizabeth Bennet | Internal | Mismatched Love | Double-Knotted Strings | Society & Class | Hyperbole | Witty | Narrative | Iambic Pentameter | End Rhyme | Pride and Prejudice | 1813
Herrick | Cavalier | Devon | Maids | Psychological | Invitation | Gather Rosebuds | Time & Youth | Apostrophe | Playful | Ballad | Iambic Tetrameter | Feminine Rhyme | To the Virgins | 1648
Vonnegut | Postmodern | World War II | Billy Pilgrim | Nature of Reality | Fragmented | Dresden Firebombing | Futility of War | Referents | Absurd | Experimental | Irregular Meter | End Rhyme | Slaughterhouse-Five | 1969
