Word | Description | Type | Subtype | Chromosome | Location | Structure | Origin | Function | Regulation
Genetic Drift | Chance of Inheritance | Evolution | Random | N/A | N/A | N/A | Population Size | Acts on Neutral Variants | Selection Bias
Linkage Disequilibrium | Non-Random Association | Statistics | Hardy-Weinberg | N/A | N/A | N/A | Allele Frequency | Estimation of LD Blocks | Gene Mapping
Chromosomal Inversion | Reversal of DNA Segment |Mitosis | N/A | Mapping | Genetic Locus | N/A | Crossover Events | Affect Phenotype | Transcription Factor Interaction
Codon | 3 Base DNA Sequence | Protein Synthesis | mRNA | N/A | Base Pairs | N/A | Deoxyribonucleic Acid | Translate to Amino Acid | Non-Sense Suppression
Recombination | Exchange of Genetic Material | meiosis | Crossing Over | Linkage Group | Centromere | N/A | Homology | Improve Diversity | Chromosomal Rearrangement
RNA Editing | Change of RNA Sequence | Molecular Biology | Post-Transcription | N/A | N/A | N/A | None | Make New Protein | A to I Conversion
Primer Extension | Enzyme Attachment of DNA Strands | DNA Replication | PCR | N/A | N/A | N/A | Base Pairs | Copies Genetic Material | Polymerase Kinetics
Mendel's Law | Principle of Genetics | Heredity | Monohybrid | N/A | N/A | N/A | Mendel | Trait Inheritance | Segregation and Assortment
Gene Expression | Regulation of Proteins | Cell Cycle | Transcription | N/A | Promoter | Regulatory Proteins | Non-Coding | Produces RNA | Promoter Methylation
Regulatory Sequence | Sequence Controlling Gene Permutation | Molecular Biology | Enhancers/Silencers | N/A | N/A | N/A | Spontaneous | Determines Expression | Proteins Binding
