;Ecological Footprint; Invasive Species Present; Endemic Species Present; Conservation Programs; Legislation and Policies; Public Engagement; Research Initiatives; Habitat Restoration Projects; Climate Change Impact; Biodiversity Hotspots; Ecotourism Potential
0;" ""Medium"" "; Brown Tree Snake, Mynah Bird ; Blue-footed Booby ; Coastal Clean-up, EPA Regulations ; Local Education Programs ; University Ecosystem Research ; Forest Restoration Projects ; Rising Sea Levels ; Galapagos Islands ; High Potential;
1;"""High"" "; Water Hyacinth, Zebra Mussel ; Kakapo, Kiwi ; Wildlife Refuge Funding ; Endangered Species Act ; National Park Visitor Centers ; Genetic Diversity Studies ; Wetland Conservation Efforts ; Warming Ocean Temperatures ; Great Barrier Reef ; Moderate Potential
2;"""Low"" "; Nutria, Cane Toad ; California Condor, Desert Tortoise ; Land Trust Conservation, Local Ordinances ; Clean Air Act ; Community Garden Initiatives ; Biodiversity Surveys ; Habitat Corridor Projects ; Melting Glaciers ; Amazon Rainforest ; High Potential
3;"""Medium"" "; Burmese Python, Tegu Lizard ; Florida Panther, Manatee ; State Park Management ; Marine Protection Areas ; Interpretive Nature Trails ; Coral Reef Monitoring ; Coastal Erosion Efforts ; Increased Storm Frequency ; Florida Keys ; Moderate Potential
4;"""High"" "; Asian Carp, Ruffe Fish ; Whooping Crane, Black-footed Ferret ; Federal Wildlife Grants ; Migratory Bird Treaty Act ; Hunting & Fishing Regulations ; Grizzly Bear Recovery ; Fire Restoration Efforts ; Permafrost Thawing ; Yellowstone National Park ; Low Potential
5;"""Low"" "; Elephant Grass, Waterlettuce ; Mountain Gorilla, Okapi ; International Conservation Funding ; Convention on International Trade in Endangered Species ; Ecotourism Regulations ; African Rainforest Research ; Habitat Fragmentation Projects ; Deforestation ; Congo Basin ; High Potential
6;"""Medium"" "; Giant Hogweed, Mute Swan ; Bald Eagle, Gray Wolf ; Wildlife Sanctuary Funding ; Endangered Species Act ; Zoo Education Programs ; Grizzly-Polar Hybrid Research ; Riverbank Restoration ; Thawing Permafrost ; Alaska ; Moderate Potential
7;"""High"" "; Yellowtail, Northern Pike ; Bighorn Sheep, Western Pond Turtle ; State Game Commissions ; Lacey Act ; Hunting & Fishing Licenses ; Pronghorn Recovery ; Habitat Improvement Programs ; Forest Fire Risks ; Rocky Mountains ; Low Potential
8;"""Low"" "; Eurasian Collared-Dove, Red Imported Fire Ant ; Monarch Butterfly, Texas Indigo Snake ; Local Land Trusts ; Clean Water Act ; Monarch Waystation Programs ; Grassland Bird Research ; Rangeland Restoration ; Drought Conditions ; Texas Hill Country ; High Potential
9;"""Medium"" "; Wild Boar, Coypu ; Southern Sea Otter, Red-legged Frog ; Federal Land Management ; Marine Mammal Protection Act ; Aquarium Education Programs ; Kelp Bed Restoration ; Sea Level Rise Mitigation ; Ocean Acidification ; Channel Islands ; Moderate Potential</s>
