Tech|OS|App|RAM|Processor|Input|Output|Memory|Battery|Display|Security|Connectivity|Size|Cost|Color
PC|Windows|Word|8GB|Intel Core i7|Keyboard|Monitor|1TB|6-Cell|SXGA|Biometric|Ethernet|Large|$399.99|Black
Laptop|macOS|App|4GB|Intel Core i5|Trackpad|Printer|512GB|8-Cell|FHD|Password|Wi-Fi|Medium|$599.99|Silver
Tablet|Android|Photoshop|2GB|A10 Chip|Stylus|Stereo|256GB|2-Cell|UHD|Security PIN|Bluetooth|Small|$249.99|Silver
Webcam|Web-Based|Facetime|1GB|HD Output|Mic & Speaker|HDMI|8GB|Rechargeable|VGA|QR Code|Infrared|Mini|$69.99|Black
Data Storage|Linux|Terminal|4GB|RAID|SD Card|Wi-Fi|2TB|Lithium|WQXGA|Encryption|Wi-Fi|Nano|$119.99|White
Printer|MS-DOS|Print|2GB|HP Ink|USB & HDMI|Printing|16GB|Non-Rechargeable|HDTV|Anti-Virus|Bluetooth|Super|$89.99|Black
Monitor|PC|Liquid Crystal Display|8GB|4K Display|Touchscreen|VGA|32GB|Rechargeable|FHD|Fingerprint Scanner|NFC|Large|$499.99|White
Smartphone|iOS|Safari|6GB|Snapdragon|Headset & Earpiece|Lightning|64GB|Non-Removable|QHD|Firewall|Wi-Fi|Tiny|$899.99|Gray
Wireless Speaker|Multimedia|Play Music|6GB|Stereo Sound|Volume Controls|3.5mm|32GB|Rechargeable|HDTV|AI Assistant|NFC|Mini|$159.99|Black
Computer Mouse|MS-DOS|Cursor|512MB|Laser Sensor|Scroll-Wheel|USB|8GB|Non-Removable|UHD|Encryption|Infrared|Small|$29.99|White
Headphones|Linux|Listen|1GB|Noise Cancelling|3.5mm|Lightning|16GB|Non-Rechargeable|HDTV|Private Browsing|Bluetooth|Super|$189.99|Blue
