;Lyrics Writer;Composer(s);Music Video Director;Sound Engineer;Record Studio;Live Performance Venue 1;Live Performance Venue 2;Live Performance Venue 3;Choreographer;Marketing Agency;Distributors (Online);Distributors (Physical Retail);Distributors (Streaming Platform);Distributors (Record Shops)
0;  Billy Joel;Billy Joel;Russell Mulcahy;Jim Boyer;The Hit Factory, NYC;Madison Square Garden;Carnegie Hall;Radio City Music Hall;Glenn Douglas Packard;BBDO Worldwide;iTunes;Tower Records;Spotify;Vinyl Me, Please
1; Dolly Parton;Dolly Parton;Wayne Isham;Steve Buckingham;Record Plant, LA;Grand Ole Opry;Ryman Auditorium; Tennessee Theatre;Tony Mugavero;Six Degrees Creative;Amazon Music;Best Buy;Apple Music;Independent Record Stores
2; Prince;Prince;Anton Corbijn;Bob Clearmountain;Paisley Park;First Avenue;Orpheum Theatre;Northrop Auditorium;Lavelle Smith;Saatchi & Saatchi;Google Play;Trans World Entertainment;Tidal;Light in the Attic Records
3; Madonna;Madonna;David Fincher;Mike Dean;Westlake Recording Studios;Madison Square Garden;Radio City Music Hall;Beacon Theatre;Jamie King;Weiden+Kennedy;Spotify;Barnes & Noble;Pandora;Rough Trade NYC
4; Kanye West;Kanye West;Hype Williams;Anthony Kilhoffer;Sony Music Studios;United Center;Chicago Theatre;Auditorium Theatre;Laurence Hobgood;Droga5;Tidal;FYE;YouTube Music;Amoeba Music
5; Taylor Swift;Taylor Swift;Joseph Kahn;Serban Ghenea;Blackbird Studio;MetLife Stadium;Beacon Theatre;Ryman Auditorium;Tyce Diorio;TBWA\Chiat\Day;Prime Music;Target;Google Play;Banana Stand Media
6; Paul McCartney;Paul McCartney;Michael Lindsay-Hogg;Geoff Emerick;Abbey Road Studios;Wembley Stadium;Royal Albert Hall;Glasgow Royal Concert Hall;Arlene Phillips;MMB Creative;Apple Music;HMV;YouTube Music;Discogs
7; David Bowie;David Bowie;Nicolas Roeg;Tony Visconti;Trident Studios;O2 Arena;Hammersmith Apollo;Roundhouse;Tara Subkoff;Maverick;Pandora;Virgin Megastore;Spotify;Third Man Records
8; Bruce Springsteen;Bruce Springsteen;Brian De Palma;Jimmy Iovine;The Power Station;MetLife Stadium;Apollo Theatre;Carnegie Hall;Pamela Sousa;J. Walter Thompson;iTunes;Newbury Comics;Amazon Music;Goldenlane Records
9; Eminem;Eminem;Dr. Dre;Eminem, Mike Elizondo, Steve King;54 Sound;Little Caesars Arena;Fox Theatre;Saint Andrew's Hall;Rugged Roots;Leo Burnett;Napster;Trans World Entertainment;Apple Music;Wax Time Records</s>
