;Primary Sources; Secondary Resources ; Historiography ; Key Figures; Art & Architecture; Cultural Practices ; Economic Systems ; Political Structures; Social Hierarchies ; Scientific Advancements ; Technological Innovations ; Geographical Impact
0;" ""The Analects of Confucius"""; Modern interpretations of Confucianism; Debates on East Asian values; Confucius, Mencius, and Xunzi; Terracotta Army, Great Wall; Rituals, calligraphy, tea ceremony; Silk Road trade, feudalism; Imperial dynasties, mandate of heaven; Scholar-official class, concubines; Four Great Inventions, papermaking; Compass, gunpowder; Expansion of empires, cultural exchanges.
1;"""The Torah/Old Testament"""; Rabbinic commentaries, Jewish law; Interpretations of monotheism; Moses, Prophets, King Solomon; Temple of Jerusalem, synagogues; Sabbath, kosher diet; Tribal societies, temple economies; Monarchy, theocracy; Priests, Levites; Ten Commandments, divine revelation; Agriculture, metalworking; Land of Canaan, Israel.
2;"""The New Testament"""; Early Christian writings, doctrinal debates; Jesus, Paul, early Church Fathers; Christianity, Gnosticism, Manichaeism; Byzantine mosaics, Roman catacombs; Eucharist, baptism; Communal property, patronage; Papacy, bishops, monasticism; Clergy, laity; Salvation, resurrection; Evangelism, religious texts; Expansion of Christianity, Roman Empire.
3;"""The Quran"""; Sunni, Shia, Sufi commentaries; Interpretations of Islamic theology; Muhammad, caliphs, imams; Mosques, Kaaba in Mecca; Ramadan, pilgrimage; Islamic empires, hajj; Caliphates, sultanates; Ulama, Sufis; Five Pillars, jihad; Early Islamic scholars, hadiths; Arabian Peninsula, ummah.
4;"""The Mahabharata"""; Bhagavad Gita, Hindu philosophy; Krishna, Arjuna, Bhima; Hindu temples, sculptures; Yoga, Ayurveda; Caste system, polygamy; Feudalism, guilds; Monarchy, warrior codes; Brahmins, Kshatriyas; Dharma, karma; Astronomy, metallurgy; Indian subcontinent, cultural synthesis.
5;"""The Histories"" by Herodotus"; Ancient Greek & Roman histories; Debates on historical accuracy; Herodotus, Thucydides, Livy; Parthenon, Colosseum; Athletic games, theater; Athenian democracy, Roman republic; Monarchy, dictatorship; Philosophers, orators; Political theories, rhetoric; Cartography, naval warfare; Mediterranean world, Hellenistic culture.
6;"""The Annals"" by Tacitus"; Roman historians, imperial politics; Tiberius, Nero, Agricola; Roman literature, declamations; Roman portraits, busts; Satire, tragedy; Imperial bureaucracy, patronage; Principate, senate; Senators, equestrians; Propaganda, civil war; Aqueducts, roads; Roman expansion, frontier control.
7;"""The Records of the Grand Historian"" by Sima Qian"; Chinese historians, ancient China; Emperor Qin Shi Huang, Liu Bang, Han Wudi; Calligraphy, oracle bones; Ancient poetry, divination; Legalism, Confucianism; Feudal lords, bureaucracy; Han dynasty, Silk Road; Mandarins, eunuchs; Histor biographies, annals; Technology, agriculture; Territorial growth, cultural exchanges.
8;"""The Muqaddimah"" by Ibn Khaldun"; Medieval Islamic historians, sociology; Umayyads, Abbasids, Almohads; Arabic scripts, illuminated manuscripts; Sufi poetry, Hadith studies; Fiqh, Kalam; Islamic city-states, trade networks; Caliphs, amirs; Ulama, merchants; Social sciences, philosophy; Astronomy, medicine; Islamic Golden Age, global trade.
9;"""The Domesday Book"""; Medieval English records; Land distribution, feudalism; William the Conqueror, nobles; Illuminated manuscripts, seals; Manorialism, serfdom; Church, state; Barons, knights; Clergy, peasants; Law, justice; Agriculture, mills; Norman Conquest, England.</s>
10;" ""The Annals of Tiglath-Pileser III"""; Assyrian records, ancient Mesopotamia; Tiglath-Pileser III, Shalmaneser V; Cuneiform, glazed bricks; Royal inscriptions, divination; Assyrian law, religion; Vassal states, imperial bureaucracy; Neo-Assyrian Empire, warfare; Scribes, eunuchs; Chronicles, omen texts; Irrigation, transportation; Territorial expansion, Aramaic influence.
11;"""The Mahabharata"""; Sanskrit epic, ancient India; Vyasa, Valmiki; Sanskrit poetry, temple art; Vedic religion, Hinduism; Dharma, Arthashastra; Janapadas, Mahajanapadas; Monarchy, tribal confederacies; Brahmins, Kshatriyas; Ayurveda, mathematics; Ironworking, shipbuilding; Indo-Aryan migration, Mauryan Empire.
