;Literature; Visual Arts; Dance Forms; Architecture Styles; Cinema & TV Shows; Sports & Games; Historical Places; Celebrations; National Holidays; Traditional Crafts
0; Irish Literature; Celtic visual arts; Riverdance; Irish Castle style; The Quiet Man, Father Ted; Hurling, Gaelic football; Blarney Castle; St. Patrick's Day; St. Patrick's Day; Celtic knotwork.
1; Japanese Literature; Ukiyo-e art; Kabuki, Butoh; Traditional Japanese architecture; Seven Samurai, Spirited Away; Sumo, Go; Mount Fuji, Himeji Castle; Cherry Blossom Festival; Golden Week; Origami, Kintsugi.
2; Mexican Literature; Mexican muralism; Ballet Folklorico; Baroque, Art Nouveau; Y Tu Mama Tambien, Como Agua para Chocolate; Lucha Libre, Ulama; Chichen Itza, Palacio de Bellas Artes; Day of the Dead; Independence Day; Alebrijes, Talavera pottery.
3; Russian Literature; Socialist Realism; Russian ballet; Russian Revival, Constructivist; Battleship Potemkin, Seventeen Moments of Spring; Bandy, Chess; The Kremlin, Saint Basil's Cathedral; Russian Orthodox Christmas; Victory Day; Matryoshka dolls, Faberge eggs.
4; Indian Literature; Miniature paintings; Kathak, Bharatanatyam; Mughal, Brutalist; Mother India, Slumdog Millionaire; Cricket, Kabaddi; Taj Mahal, Qutub Minar; Diwali; Republic Day; Madhubani painting, Zardozi embroidery.
5; Italian Literature; Renaissance art; Ballet; Romanesque, Rationalist; Cinema Paradiso, The Good, the Bad and the Ugly; Calcio Storico, Formula One; Colosseum, Florence Cathedral; Carnevale; Liberation Day; Murano glass, Terracotta.
6; Chinese Literature; Shanghai Style; Chinese opera; Tang, Qing; Farewell My Concubine, House of Flying Daggers; Mahjong, Ping Pong; Great Wall, Forbidden City; Mid-Autumn Festival; National Day; Paper cuts, Jade carving.
7; French Literature; Impressionist paintings; French baroque dance; Gothic, Modern; Breathless, Amélie; Petanque, Rugby; Notre-Dame, Eiffel Tower; Bastille Day; All Saints' Day; Lavender fields, Delftware.
8; German Literature; Expressionist paintings; Ausdruckstanz; Bauhaus, Postmodern; Metropolis, Das Boot; Soccer, Chess; Neuschwanstein, Reichstag; Oktoberfest; Day of German Unity; Christmas markets, Black Forest cuckoo clocks.
9; Spanish Literature; Surrealism; Flamenco; Gothic, Futurist; Pan's Labyrinth, Talk to Her; Bullfighting, Pelota; Alhambra, Sagrada Familia; Semana Santa; Constitution Day; Gaudi architecture, Espadrilles.</s>
