;Mission Name; Start Date; Duration (days); Spacecraft Used; Primary Objective; Astronomer On Board; Orbit Achieved; Payloads Deployed; Reusable?; First Stage Return?; Crew Count
0;" ""Apollo 11"""; July 16, 1969; 195; Apollo Lunar Module, Command Module; Moon landing; Buzz Aldrin; Lunar orbit; Lunar lander, Moon rocks; Yes; No; 3
1;"""Space Shuttle Discovery (STS-31)"""; April 24, 1990; 5; Space Shuttle Discovery; Hubble Space Telescope deployment; Bruce McCandless II; Low Earth Orbit; Hubble Space Telescope; Yes; No; 5
2;"""SpaceX DM-2"""; May 30, 2020; 119; Crew Dragon (Dragon 2); International Space Station (ISS) crew rotation; Bob Behnken; Low Earth Orbit; Crew supplies, scientific equipment; Yes; Yes; 2
3;"""Soyuz T-15"""; March 13, 1986; 125; Soyuz T-15; ISS long-term crew operation testing; Leonid Kizim; High Earth Orbit; Kvant-1, Salyut 7; Yes; No; 2
4;"""Challenger (STS-61-A)"""; October 30, 1985; 8; Space Shuttle Challenger; Spacelab-D1 research mission; Reinhard Furrer; Low Earth Orbit; Spacelab-D1; Yes; No; 7
5;"""Gemini 11"""; September 12, 1966; 4; Gemini capsule, Agena target vehicle; Rendezvous docking; Richard Gordon; High Earth Orbit; Agena docking; No; No; 2
6;"""Apollo-Soyuz Test Project (ASTP)"""; July 15, 1975; 9; Apollo capsule, Soyuz spacecraft; Docking in Low Earth Orbit; Thomas Stafford; Low Earth Orbit; Docking module; No; No; 3
7;"""Skylab 4"""; November 16, 1973; 84; Skylab space station; Medical research, solar physics; Gerald Carr; Low Earth Orbit; Skylab modules; No; No; 3
8;"""Space Shuttle Endeavour (STS-47)"""; September 12, 1992; 8; Space Shuttle Endeavour; Spacelab, microgravity experiments; Mae Jemison; Low Earth Orbit; Spacelab-J; Yes; No; 7
9;"""Chang'e 5"""; November 24, 2020; 23; Chang'e 5 Lunar Module, Ascender; Lunar samples return mission; None; Lunar orbit, Low Earth Orbit; Lunar samples container; Yes; Yes; 0</s>
10;" ""Mars Direct Demo Mission"""; June 15, 2026; 920; Mars Direct Spacecraft; Demonstrate Mars transit and landing technologies; None; Low Mars Orbit, Martian Surface; Experimental Mars Habitat; Yes; Yes; 0
11;"""Space Shuttle Discovery (STS-95)"""; October 29, 1998; 9; Space Shuttle Discovery; Space experiments, Hubble Space Telescope maintenance; Steven Hawking; Low Earth Orbit; Hubble Space Telescope, SPARTAN-201; Yes; No; 7
12;"""Artemis Basecamp Mission"""; July 14, 2029; 1228; Artemis Lunar Spacecraft; Establish Artemis Basecamp, Lunar exploration demonstration; Multiple; Low Lunar Orbit, Lunar South Pole; Artemis Basecamp, Lunar Rover; Yes; Yes; 6
13;"""Mars Sample Return Mission 1"""; September 6, 2031; 197; Mars Sample Return Spacecraft; Retrieve Mars 2030 Rover samples, Return to Earth; None; Low Mars Orbit; Mars Ascent Vehicle; Yes; Yes; 0
14;"""ExoMars Rover 2"""; May 2, 2033; 302; ExoMars Rover 2; In-situ resource utilization, Martian environment exploration; Alexis Daugherty; Low Mars Orbit; ExoMars Rover 2; Yes; Yes; 3
15;"""Juno Orbiter Extension"""; March 19, 2034; 365; Juno Orbiter; Jovian atmospheric composition and dynamics; Caroline Wilson; Jupiter Orbit; Microwave Radiometer, Gravity Science; No; No; 1
16;"""Titan Orbiter Mission"""; November 18, 2035; 520; Titan Orbiter; Titan and Enceladus exploration, Plasma, Magnetic fields study; Jean-Pierre Courtois; Saturn Orbit, Titan Orbit; Titan Atmospheric and Plasma Spectrometer; No; No; 2
17;"""Uranus Orbiter and Probe"""; February 19, 2038; 750; Uranus Orbiter and Probe; Uranian system exploration; David Clements; Uranus Orbit; Uranus Orbiter and Probe; No; No; 3
